condition,year,model,trim,title,price,mileage,dealer,deal,link
Used,1992,Previa,Toyota Previa LE,Used 1992 Toyota Previa LE,"$14,998","84,066 mi.",Quality Auto Center of Lynnwood,,https://www.cars.com/vehicledetail/a3826596-512a-4cdb-a87f-61c168562d31/
Used,1992,Previa,Toyota Previa LE 3dr Mini Van,Used 1992 Toyota Previa LE 3dr Mini Van,"$12,400","130,301 mi.",GR Auto Gallery,great-deal,https://www.cars.com/vehicledetail/a66d2c08-a67d-4bd3-9b88-fd64933e5c5e/
Used,1991,Previa,Toyota Previa LE 3dr Mini Van,Used 1991 Toyota Previa LE 3dr Mini Van,"$14,999","134,000 mi.",North Hills Auto Mall,great-deal,https://www.cars.com/vehicledetail/b41a77cc-a59b-4f87-9bf3-d12a282b106c/
